@relation BOOKKEEPER_Dataset-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute NR numeric
@attribute LOC_Added numeric
@attribute Max_LOC_Added numeric
@attribute Avg_LOC_Added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Avg_Churn numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Bugginess {No,Yes}

@data
2,380,39,7,170,46,24,583,145,83,1419,272,203,No
2,138,13,5,17,2,3,27,7,5,967,272,193,No
2,142,20,7,27,3,4,47,10,7,1188,272,170,No
2,191,18,5,30,9,6,50,16,10,969,279,194,No
2,46,1,1,1,1,1,0,0,0,272,272,272,No
2,165,19,5,69,23,14,188,38,38,717,272,143,No
2,171,9,5,29,12,6,77,23,15,1087,419,217,No
2,56,5,2,13,6,7,4,2,2,722,450,361,No
2,179,17,5,49,14,10,112,34,22,1294,399,259,Yes
2,74,4,1,4,1,4,0,0,0,272,272,272,No
2,38,2,1,2,1,2,0,0,0,272,272,272,No
2,39,1,1,1,1,1,0,0,0,272,272,272,No
2,117,35,6,101,15,17,238,50,40,1029,392,172,No
2,94,12,4,19,4,5,34,11,9,962,353,241,No
2,71,19,5,30,5,6,39,9,8,1020,346,204,No
2,113,19,6,31,11,5,19,4,3,1129,272,188,No
2,183,76,13,566,176,44,4659,406,358,1502,240,116,No
2,85,21,5,40,5,8,45,10,9,1020,346,204,No
2,58,5,2,5,1,3,0,0,0,435,272,218,No
2,127,14,6,20,3,3,38,9,6,1113,273,186,No
2,125,47,11,148,25,13,-1752,4,-159,1054,273,96,No
2,151,59,12,309,91,26,2500,241,208,1416,273,118,No
2,421,180,17,840,164,49,8520,606,501,1504,272,88,No
2,376,45,9,84,18,9,200,25,22,1259,251,140,No
2,107,17,7,28,6,4,68,13,10,1169,273,167,No
2,66,5,1,14,4,14,1,1,1,272,272,272,No
2,63,3,3,19,9,6,45,18,15,678,272,226,No
2,47,4,1,4,1,4,0,0,0,272,272,272,No
2,183,15,3,18,2,6,-4,0,-1,550,272,183,No
2,98,2,1,3,2,3,1,1,1,317,317,317,No
2,143,1,1,5,5,5,5,5,5,433,433,433,No
2,56,2,1,3,2,3,0,0,0,433,433,433,No
2,51,1,1,1,1,1,0,0,0,272,272,272,No
2,41,1,1,1,1,1,0,0,0,624,624,624,No
2,104,15,2,15,1,8,0,0,0,804,532,402,No
2,54,2,1,2,1,2,0,0,0,624,624,624,No
2,254,17,7,106,30,15,298,92,43,1332,369,190,Yes
2,16883,1667,16,36144,6451,2259,103837,32548,6490,1622,268,101,No
2,153,2,1,2,1,2,0,0,0,272,272,272,No
2,68,8,4,27,14,7,93,25,23,989,433,247,No
2,100,8,2,60,23,30,118,59,59,667,395,334,No
2,549,61,8,388,59,49,1019,244,127,951,230,119,No
2,437,5,2,16,10,8,25,13,13,609,402,305,No
2,1033,69,9,297,97,33,1071,235,119,1051,207,117,No
2,101,5,1,11,4,11,9,9,9,332,332,332,No
2,331,16,3,49,17,16,82,28,27,672,236,224,No
2,106,25,4,63,15,16,17,11,4,1068,348,267,No
2,106,25,6,49,7,8,18,4,3,1161,335,194,No
2,93,23,5,42,4,8,18,9,4,1106,348,221,No
2,101,13,2,51,9,26,2,1,1,423,272,212,No
2,38,4,1,2,1,2,-7,0,-7,527,527,527,No
2,584,57,15,329,27,22,2857,295,190,1788,272,119,No
2,32,4,2,5,2,3,1,1,1,596,317,298,No
2,35,1,1,1,1,1,0,0,0,272,272,272,No
2,90,2,2,9,5,5,14,9,7,893,460,447,No
2,92,16,8,72,20,9,418,63,52,1551,290,194,No
2,885,156,20,579,38,29,6027,424,301,2014,273,101,No
2,67,6,2,19,10,10,6,3,3,562,290,281,No
2,29,1,1,1,1,1,0,0,0,272,272,272,No
2,72,8,2,9,2,5,16,8,8,562,290,281,No
2,37,3,1,3,1,3,0,0,0,272,272,272,No
2,47,5,2,10,3,5,8,4,4,483,339,242,No
2,90,21,5,41,11,8,85,23,17,1032,290,206,No
2,223,64,12,266,50,22,1230,164,103,1893,273,158,No
2,107,22,5,48,19,10,152,37,30,1267,290,253,No
2,525,89,17,260,45,15,1708,197,100,1907,301,112,No
2,83,2,1,7,6,7,6,6,6,269,269,269,No
2,76,2,1,2,1,2,0,0,0,272,272,272,No
2,202,8,3,25,8,8,56,23,19,411,185,137,No
2,155,12,5,22,4,4,34,9,7,1142,342,228,No
2,1262,190,16,1196,126,75,7112,814,445,1740,272,109,No
2,74,2,1,2,1,2,0,0,0,272,272,272,No
2,101,10,4,25,4,6,44,12,11,1194,411,299,No
2,489,30,7,86,12,12,252,63,36,1231,272,176,No
2,59,5,2,5,1,3,2,1,1,647,375,324,No
2,99,7,3,13,5,4,21,8,7,797,272,266,No
2,27,1,1,1,1,1,0,0,0,272,272,272,No
2,77,2,1,2,1,2,0,0,0,272,272,272,No
2,846,104,13,446,35,34,2812,271,216,1807,272,139,No
2,64,2,2,2,1,1,0,0,0,651,448,326,No
2,63,3,1,4,2,4,0,0,0,272,272,272,No
2,54,1,1,17,17,17,17,17,17,631,631,631,No
2,64,1,1,1,1,1,0,0,0,272,272,272,No
2,132,4,2,12,9,6,16,8,8,744,472,372,No
2,177,21,7,37,5,5,93,20,13,1205,339,172,No
2,36,5,2,7,2,4,0,0,0,590,318,295,No
2,58,2,1,3,2,3,1,1,1,317,317,317,No
2,132,13,4,17,3,4,10,3,3,692,272,173,No
2,74,3,2,4,2,2,1,1,1,571,317,286,No
2,83,3,2,4,2,2,2,1,1,423,272,212,No
2,48,2,1,2,1,2,0,0,0,321,321,321,No
2,74,12,2,21,9,11,28,14,14,702,430,351,No
2,86,9,3,24,15,8,48,16,16,627,272,209,No
2,355,54,8,363,132,45,1241,307,155,1235,272,154,No
2,798,134,17,545,61,32,3446,398,203,1926,236,113,No
2,75,11,2,44,13,22,37,36,19,548,515,274,No
2,125,22,6,69,14,12,194,49,32,1122,395,187,No
2,200,24,8,155,47,19,510,138,64,1312,341,164,No
2,31,1,1,1,1,1,0,0,0,272,272,272,No
2,57,4,1,4,1,4,0,0,0,272,272,272,No
2,123,12,4,30,15,8,74,21,19,1071,361,268,No
2,32,1,1,1,1,1,0,0,0,433,433,433,No
2,227,19,2,65,18,33,26,25,13,423,272,212,No
2,204,11,5,29,11,6,60,17,12,982,379,196,No
2,80,6,2,11,5,6,10,5,5,495,272,248,No
2,57,2,2,7,5,4,10,5,5,495,272,248,No
2,340,57,5,267,44,53,215,100,43,1004,272,201,No
2,104,28,1,30,2,30,0,0,0,272,272,272,No
2,35,1,1,1,1,1,0,0,0,433,433,433,No
2,98,1,1,1,1,1,0,0,0,272,272,272,No
2,117,6,3,54,37,18,116,39,39,758,335,253,No
2,58,2,1,3,2,3,1,1,1,272,272,272,No
